# sigma        epsilon        charge       dG        uncertainty
4.203999999999999959e-01     1.131699999999999928e+00     1.000000000000000000e+00     -1.099048409951555811e+02     4.753348680913312835e-02
3.740999999999999881e-01     1.895299999999999985e+00     1.000000000000000000e+00     -1.440417103299594146e+02     4.991480014612140886e-02
3.297999999999999821e-01     4.741399999999999615e+00     1.000000000000000000e+00     -1.889924923416925822e+02     5.052307334425470281e-02
4.971999999999999753e-01     4.649099999999999788e+00     1.000000000000000000e+00     -9.303275289391852709e+01     7.653762588052366589e-02
3.337999999999999856e-01     1.602400000000000047e+00     1.000000000000000000e+00     -1.927619753199335833e+02     5.217016543296048442e-02
3.822999999999999732e-01     2.021000000000000019e-01     1.000000000000000000e+00     -1.867201738341622956e+02     5.231691486335827979e-02
3.511000000000000232e-01     1.490199999999999969e+00     1.000000000000000000e+00     -1.713490402267784702e+02     5.069701830860319502e-02
4.248000000000000109e-01     3.149300000000000210e+00     1.000000000000000000e+00     -1.104925959012869328e+02     5.303869873595495193e-02
2.921000000000000263e-01     3.297400000000000109e+00     1.000000000000000000e+00     -2.412098536009035854e+02     5.462135036464580568e-02
3.062000000000000277e-01     2.215800000000000214e+00     1.000000000000000000e+00     -2.252880099732519739e+02     5.446658212609766653e-02
4.742000000000000104e-01     3.196400000000000130e+00     1.000000000000000000e+00     -8.685144789485768513e+01     6.251648125902627140e-02
3.589999999999999858e-01     2.830799999999999983e+00     1.000000000000000000e+00     -1.567406444998051711e+02     4.871840871779444665e-02
3.028000000000000136e-01     4.012299999999999756e+00     1.000000000000000000e+00     -2.249828740084797971e+02     5.476792333784497036e-02
3.834000000000000186e-01     2.593199999999999950e+00     1.000000000000000000e+00     -1.355770709774979252e+02     4.959767718969118611e-02
3.620999999999999774e-01     3.439799999999999969e+00     1.000000000000000000e+00     -1.547303697188027911e+02     5.119466779937498213e-02
4.158000000000000029e-01     9.800999999999999712e-01     1.000000000000000000e+00     -1.147998694257443333e+02     4.861622113372041087e-02
4.615000000000000213e-01     2.330000000000000127e-01     1.000000000000000000e+00     -1.047129561139484935e+02     4.826079303414258087e-02
3.574999999999999845e-01     3.472700000000000120e+00     1.000000000000000000e+00     -1.589523027053951409e+02     5.121019840730219042e-02
4.479000000000000203e-01     1.401999999999999913e-01     1.000000000000000000e+00     -1.279618921853950582e+02     4.926834936080525668e-02
4.678999999999999826e-01     3.204099999999999948e+00     1.000000000000000000e+00     -8.964714806126239921e+01     6.144644752888785838e-02
4.445000000000000062e-01     6.522000000000000020e-01     1.000000000000000000e+00     -9.862456778386891187e+01     4.973794684985351211e-02
4.778999999999999915e-01     5.084100000000000286e+00     1.000000000000000000e+00     -1.042350539521969921e+02     6.834886156277179825e-02
3.222999999999999754e-01     1.772699999999999942e+00     1.000000000000000000e+00     -2.067220072279707210e+02     5.221935584497879035e-02
4.218999999999999972e-01     5.546999999999999709e+00     1.000000000000000000e+00     -1.290689268769384626e+02     5.705789478145360805e-02
4.652000000000000024e-01     1.378800000000000026e+00     1.000000000000000000e+00     -8.082815472024319092e+01     5.302968159699167350e-02
3.885000000000000120e-01     4.237300000000000288e+00     1.000000000000000000e+00     -1.375929790667613588e+02     5.226081915146031653e-02
