# epsilon   charge   density   std   dielectric   std
4.759699999999999598e+00   4.783999999999999919e-01   1.089146486105983740e+03   5.878268876034381307e+00   1.507902509749024773e+02   3.053729224131114250e-01
4.968099999999999739e+00   4.709999999999999742e-01   1.090786828832748370e+03   5.768112272199173773e+00   1.386438056194380408e+02   2.335645961406856430e-01
4.525500000000000078e+00   4.321999999999999731e-01   1.052686289436624065e+03   6.138370772643157558e+00   6.778004399560043680e+01   8.623105290291337155e-02
3.746399999999999952e+00   4.500000000000000111e-01   1.027970260897089929e+03   7.055024804790539505e+00   8.071370662933706797e+01   3.318600855984432108e-01
4.094199999999999839e+00   3.573000000000000065e-01   9.868266748195219407e+02   6.943740484516760070e+00   1.996244975502449748e+01   2.765721620172866685e-02
3.762900000000000134e+00   4.116000000000000214e-01   9.979363093835136169e+02   7.267014218274029602e+00   4.454045795420457665e+01   1.577271139428063351e-01
4.479599999999999582e+00   3.724999999999999978e-01   1.017971385136494064e+03   6.351921599300739629e+00   2.652728627137286566e+01   4.546392244056371434e-02
4.247899999999999565e+00   4.966999999999999749e-01   1.085406362631712682e+03   6.382809144568283521e+00   1.863066693330666794e+02   2.637111320978429707e-01
3.506899999999999906e+00   3.977999999999999869e-01   9.673467055356496758e+02   7.883862985757284392e+00   3.392002899710028885e+01   9.694446521669222716e-02
3.561599999999999877e+00   4.675000000000000266e-01   1.033298574282998288e+03   7.324838053220342537e+00   1.038990600939905988e+02   1.742988195040437727e-01
4.465300000000000047e+00   4.354000000000000092e-01   1.052103265512012968e+03   6.216223067428918725e+00   7.134673532646735339e+01   1.209226554953813232e-01
3.772800000000000153e+00   3.714000000000000079e-01   9.702708338934377252e+02   7.489028183220463930e+00   2.346304569543045559e+01   3.205651337425595437e-02
4.307100000000000151e+00   4.434000000000000163e-01   1.050474838260609204e+03   6.360252661371825766e+00   7.980148085191480334e+01   1.587741034826538888e-01
4.326600000000000001e+00   4.894000000000000017e-01   1.082819896911079468e+03   6.289398270289940918e+00   1.666992400759923783e+02   4.866289568897304019e-01
3.737299999999999844e+00   4.381999999999999784e-01   1.017663085484849944e+03   7.145960376958995219e+00   6.726138486151384654e+01   9.020730697111055407e-02
4.051700000000000301e+00   4.084999999999999742e-01   1.014041504912437290e+03   6.798049751400575325e+00   4.418976102389760996e+01   6.595345251707181167e-02
4.607300000000000395e+00   4.338000000000000189e-01   1.056926751445287209e+03   6.056224648920037090e+00   7.115691530846915214e+01   2.510733557023383522e-01
4.771899999999999586e+00   4.732000000000000095e-01   1.086338720342203487e+03   5.885034953298371008e+00   1.402036396360363995e+02   3.964076661986321026e-01
3.687800000000000189e+00   3.585999999999999743e-01   9.550585552304464727e+02   7.777370711346152099e+00   1.913311168883111790e+01   2.930410468351572761e-02
3.673999999999999932e+00   4.129999999999999782e-01   9.929187711564678693e+02   7.414852062006747069e+00   4.487373562643735880e+01   6.339086574139890518e-02
3.724899999999999878e+00   3.914000000000000257e-01   9.800843758325743238e+02   7.464701598780143499e+00   3.193665733426657383e+01   1.707413254266005320e-01
4.100500000000000256e+00   4.630000000000000226e-01   1.055295772038794439e+03   6.536633571367350015e+00   1.060550144985501362e+02   2.127359316902228126e-01
4.314799999999999969e+00   4.747999999999999998e-01   1.072183815860611048e+03   6.310263198656266503e+00   1.329948905109488919e+02   2.368190916770237797e-01
3.997199999999999864e+00   4.151000000000000245e-01   1.015350260393398003e+03   6.847978540367899214e+00   4.817224277572243096e+01   8.123521119625877474e-02
4.545899999999999608e+00   3.965000000000000191e-01   1.033330496568439230e+03   6.189226548608422362e+00   3.876215678432157574e+01   1.028469740255481130e-01
3.783900000000000041e+00   4.854999999999999871e-01   1.059395862029384261e+03   6.937126685896789269e+00   1.414302869713028770e+02   3.503816931663874534e-01
