# epsilon      dG      uncertainty)
5.909099999999999575e+00     -2.668196234300939551e+01     4.030337099859761935e-02
2.923200000000000021e+00     -4.926859905182669586e+00     3.321508902279258352e-02
4.567999999999999616e+00     -1.658815003057175019e+01     3.744788719978870556e-02
5.555399999999999672e+00     -2.403505336822132676e+01     3.952838711487556556e-02
7.584999999999999520e-01     7.779482629579392849e+00     2.466346814386080263e-02
5.995000000000000329e-01     8.266309559357663872e+00     2.348187311069831890e-02
4.107000000000000206e+00     -1.330826961720975099e+01     3.625746176195591280e-02
1.438499999999999890e+00     4.514955975162870061e+00     2.827709313031223637e-02
2.130900000000000016e+00     3.328298038557946370e-01     3.084832308580175847e-02
1.304000000000000048e+00     5.251410968214456076e+00     2.767436690059951049e-02
1.234099999999999975e+00     5.632801378483260457e+00     2.737921120997138455e-02
5.610100000000000087e+00     -2.440866933683759399e+01     3.973929278497320694e-02
4.644800000000000040e+00     -1.718496650587144359e+01     3.757238954986263230e-02
6.231999999999999762e-01     8.262497087144552665e+00     2.374260993510670867e-02
4.767800000000000260e+00     -1.803108541739993598e+01     3.788947759536266668e-02
1.529099999999999904e+00     3.996711761500492344e+00     2.864103503847614807e-02
1.331900000000000084e+00     5.100149747687146018e+00     2.782306364508321112e-02
3.297699999999999854e+00     -7.455073062130058048e+00     3.431983379052912231e-02
3.694100000000000161e+00     -1.032120103200420758e+01     3.524686872502890561e-02
1.483500000000000041e+00     4.268011505688278362e+00     2.851922562043248191e-02
4.900100000000000122e+00     -1.909225794510277296e+01     3.814513496821656663e-02
8.587000000000000188e-01     7.430857014259771631e+00     2.538048886683063818e-02
2.045599999999999863e+00     8.589204659015677867e-01     3.027028652341850687e-02
5.144999999999999574e-01     8.554680694515468531e+00     2.285895522037794184e-02
5.052900000000000169e+00     -2.018661750155123968e+01     3.852677422725580419e-02
2.033999999999999808e+00     9.208776809878285174e-01     3.047613032240385419e-02
1.827299999999999924e+00     2.185820258753025325e+00     2.885226350922047781e-02
5.461100000000000065e+00     -2.330165592565575139e+01     3.934653091567340277e-02
1.584500000000000020e+00     3.691359946378982126e+00     2.890830045063092282e-02
8.035999999999999810e-01     7.661576101435314534e+00     2.506524762785988444e-02
3.178100000000000147e+00     -6.643486259983875541e+00     3.398477498425507559e-02
4.670300000000000118e+00     -1.731857138456672374e+01     3.767746299724286652e-02
2.969700000000000006e+00     -5.218117925819695024e+00     3.339356687426198178e-02
2.401899999999999924e+00     -1.368081503571101809e+00     3.176499399824046083e-02
4.100699999999999790e+00     -1.326861239878717491e+01     3.620687809216389247e-02
5.111399999999999721e+00     -2.070963386937788542e+01     3.859699164025887780e-02
4.541599999999999859e+00     -1.635234095196197401e+01     3.740307116634255385e-02
4.876100000000000101e+00     -1.891570550325353750e+01     3.809270774919573666e-02
1.037099999999999911e+00     6.581572570499163000e+00     2.633045915077920213e-02
2.576200000000000045e+00     -2.501954153599232011e+00     3.233219363890574988e-02
4.145400000000000418e+00     -1.356751271341385845e+01     3.635410719842433608e-02
1.895100000000000007e+00     1.811744850812448515e+00     3.004923821695449498e-02
4.752399999999999736e+00     -1.804683285455205777e+01     3.774858160829784592e-02
5.140299999999999869e+00     -2.088956392130426210e+01     3.867553221449663431e-02
3.778500000000000192e+00     -1.089325641459111793e+01     3.550091291177349950e-02
2.473700000000000010e+00     -1.932693634558119156e+00     3.188855400258610445e-02
4.280000000000000249e+00     -1.457351301371319074e+01     3.669144102830000642e-02
5.676400000000000112e+00     -2.496040003211003011e+01     3.977574655379205459e-02
1.734699999999999909e+00     2.823096595600195879e+00     2.950089414048907496e-02
1.692099999999999937e+00     3.084747042584957022e+00     2.934474708977149321e-02
3.503600000000000048e+00     -8.931035475923309264e+00     3.480056701563171567e-02
4.928300000000000125e+00     -1.934387640538839648e+01     3.816390343941444829e-02
4.039200000000000124e+00     -1.275565475340606802e+01     3.615236696096589541e-02
4.379299999999999748e+00     -1.522711184290839270e+01     3.694321133778034200e-02
2.785400000000000098e+00     -3.941086361671573446e+00     3.290898563854832704e-02
2.244699999999999918e+00     -4.177738895026933963e-01     3.120690814905496477e-02
3.891999999999999904e+00     -1.169082667651145968e+01     3.576844310433105467e-02
2.887199999999999989e+00     -4.724088762804861119e+00     3.310196899466522763e-02
2.322700000000000209e+00     -8.734772347941531789e-01     3.153169760370571478e-02
1.201500000000000012e+00     5.762684988678985043e+00     2.715928643769913858e-02
3.321400000000000130e+00     -7.650060667195404562e+00     3.435576925923219255e-02
2.170700000000000074e+00     6.905374299114008796e-02     3.060047664172694734e-02
1.092500000000000027e+00     6.315144626689654928e+00     2.665051112326596167e-02
3.040399999999999991e+00     -5.743400510510666024e+00     3.356426649053038946e-02
1.378300000000000081e+00     4.804019127660406063e+00     2.796055614414939827e-02
3.274799999999999933e+00     -7.321023068275426482e+00     3.425910078410045884e-02
2.076499999999999790e+00     6.382188143744998987e-01     3.062877233340157226e-02
1.495500000000000052e+00     4.151478733099319030e+00     2.845839523623045972e-02
8.020000000000000462e-01     7.622788693965543594e+00     2.464541266571325731e-02
2.859399999999999942e+00     -4.448428692454139188e+00     3.308532383227482526e-02
5.708999999999999631e+00     -2.517184361561646710e+01     3.980865439094255498e-02
7.465000000000000524e-01     7.836389727078331369e+00     2.461823621934835019e-02
5.167399999999999771e+00     -2.107848525998976896e+01     3.876877856328071054e-02
4.997300000000000075e+00     -1.977377159323293654e+01     3.841282250601406323e-02
3.687199999999999811e+00     -1.022731824620128194e+01     3.529703440573844081e-02
5.017400000000000304e+00     -1.999549041437123265e+01     3.836379136903236842e-02
3.850900000000000212e+00     -1.144796457118306954e+01     3.563744524978887385e-02
2.101599999999999913e+00     5.092763774493761497e-01     3.075034406825831804e-02
4.617300000000000182e+00     -1.692711242945200212e+01     3.755572628131162438e-02
2.349299999999999944e+00     -1.026439671416371713e+00     3.162432951236354012e-02
5.796999999999999709e+00     -2.582123108458208804e+01     4.010327323885429229e-02
2.491499999999999826e+00     -2.011056122878478458e+00     3.201380818349876256e-02
3.125900000000000123e+00     -6.290386059038512556e+00     3.384118144524243810e-02
2.190799999999999859e+00     -5.667753373171548897e-02     3.104327118385630940e-02
1.993000000000000105e+00     1.175970542942902375e+00     3.034937763175124190e-02
2.392500000000000071e+00     -1.343590642272548763e+00     3.170483368674959640e-02
5.075300000000000367e+00     -2.041275808673198711e+01     3.850222360736747784e-02
5.861299999999999955e+00     -2.641334114118431842e+01     4.010159040399178393e-02
2.551499999999999879e+00     -2.355986142047476140e+00     3.225387820672361711e-02
2.758999999999999897e+00     -3.839525262812110373e+00     3.272492794056674342e-02
1.063399999999999901e+00     6.527805701795535320e+00     2.625380021947251036e-02
3.362999999999999989e+00     -7.927068734299158592e+00     3.447375968132214419e-02
5.996199999999999974e+00     -2.738925095395085307e+01     4.042396350762905710e-02
3.617999999999999883e+00     -9.709514907621571211e+00     3.514596268204191187e-02
6.830000000000000515e-01     8.080740827104808233e+00     2.422481021003479798e-02
4.362400000000000055e+00     -1.511898775585738797e+01     3.692062802464979310e-02
