# epsilon      dG      uncertainty)
2.316899999999999959e+00     7.366581334447808160e+00     5.089297584452565082e-02
4.056099999999999817e+00     -1.030714605014029317e+01     5.757332738319968085e-02
4.957600000000000229e+00     -2.001356348193676382e+01     5.989908498212626747e-02
2.029900000000000038e+00     1.008749418681664523e+01     4.971487782819777185e-02
2.959900000000000198e+00     1.002521355391948754e+00     5.326028681001312992e-02
5.647100000000000009e+00     -2.784737269235269608e+01     6.153056023964807025e-02
3.650599999999999845e+00     -6.133859037592175767e+00     5.540869787925816609e-02
5.039500000000000313e+00     -2.100230485694106974e+01     5.998086776460431757e-02
2.696699999999999875e+00     3.656568112666975789e+00     5.230472186094341225e-02
3.999400000000000066e+00     -9.839949384948317501e+00     5.726723106506972916e-02
2.272400000000000198e+00     7.836654869543533408e+00     5.074662015289792272e-02
4.644099999999999895e+00     -1.667894426232339811e+01     5.916016316515617518e-02
1.784699999999999953e+00     1.227979621020702439e+01     4.603351346757363072e-02
5.558900000000000396e+00     -2.680863654074995139e+01     6.128152371116476343e-02
5.206000000000000405e+00     -2.292812699465463666e+01     6.030338931959087351e-02
4.505799999999999805e+00     -1.509983402058091428e+01     5.889170636059154473e-02
2.603200000000000180e+00     4.567131338346122504e+00     5.195628397782664498e-02
4.009699999999999598e+00     -9.813140234945642248e+00     5.733789431793111929e-02
5.953199999999999825e+00     -3.124762876849165849e+01     6.254205311922476918e-02
2.188400000000000123e+00     8.676836078522752516e+00     5.051233511572432444e-02
4.777700000000000280e+00     -1.814955331138011019e+01     5.940300635378990141e-02
2.545399999999999885e+00     5.286320801462123242e+00     5.183620724380171713e-02
1.571800000000000086e+00     1.409987143087496086e+01     4.744625677932485380e-02
2.573700000000000099e+00     5.024323579258471284e+00     5.194721446317274866e-02
6.427999999999999936e+00     -3.682328339849970433e+01     6.422847187135224956e-02
2.327399999999999913e+00     7.289147203813599596e+00     5.094461672336831476e-02
6.320899999999999963e+00     -3.552134789016995597e+01     6.383980349638243568e-02
6.091999999999999638e+00     -3.276203930634757455e+01     6.675423735354532595e-02
3.471900000000000208e+00     -4.015750722642041026e+00     5.525367678529925775e-02
4.853200000000000180e+00     -1.901932411135400969e+01     5.948326239893786394e-02
3.840599999999999792e+00     -8.030569302039891610e+00     5.326492024262129837e-02
4.999799999999999578e+00     -2.058487614919020459e+01     5.987370790918165181e-02
2.128699999999999815e+00     9.168564400849138707e+00     5.019189357830387832e-02
2.158300000000000107e+00     8.977847551409960047e+00     5.042715290331688249e-02
2.764600000000000168e+00     3.066063201334207289e+00     5.261620125882848081e-02
2.119800000000000129e+00     9.189195173252434401e+00     5.004780024005392458e-02
3.167199999999999793e+00     -1.015650673808398130e+00     5.408117707197038909e-02
3.438400000000000123e+00     -3.871918250768040082e+00     5.194063587208922611e-02
3.121500000000000163e+00     -5.750946601397055602e-01     5.399098774707065257e-02
3.797299999999999898e+00     -7.486032209041581176e+00     5.663922096354353369e-02
4.686799999999999855e+00     -1.706448678553634224e+01     5.916613279098803524e-02
1.914299999999999891e+00     1.104178154449497740e+01     4.649960780656794967e-02
5.431000000000000050e+00     -2.540452751704784262e+01     6.093439516853896287e-02
4.353500000000000369e+00     -1.354273511536127472e+01     5.838020157723210202e-02
3.344599999999999795e+00     -2.794590011927531759e+00     5.475183647274521614e-02
3.322799999999999976e+00     -2.618992462802112620e+00     5.465063079110247385e-02
1.750199999999999978e+00     1.255569195605633581e+01     4.587171826439911254e-02
6.406900000000000261e+00     -3.655198976622625651e+01     6.413844493802110802e-02
5.268699999999999939e+00     -2.361375695921651285e+01     6.044513841737738508e-02
3.298500000000000210e+00     -2.344487948700892055e+00     5.453708520353606204e-02
3.143600000000000172e+00     -7.910107521586957624e-01     5.403177069055962317e-02
3.691300000000000026e+00     -6.447244851108322905e+00     5.281068207198128667e-02
5.190900000000000070e+00     -2.260296204937297304e+01     6.040837049213595988e-02
4.880600000000000271e+00     -1.928840403547834725e+01     5.961158097756442259e-02
2.473399999999999821e+00     5.991973478544495357e+00     5.158516026775659263e-02
2.813299999999999912e+00     2.621829339319297958e+00     5.280507100417525940e-02
6.379699999999999704e+00     -3.613142256757657833e+01     6.410446079388103235e-02
2.050499999999999989e+00     9.860900491060831996e+00     4.986210358414746441e-02
1.947799999999999976e+00     1.081570111009104629e+01     4.929220478326837990e-02
1.712599999999999900e+00     1.285679896477501316e+01     4.565121456451338988e-02
3.870299999999999851e+00     -8.241698841634992334e+00     5.340525462341188384e-02
6.018799999999999706e+00     -3.203141739558054013e+01     6.275606828805138648e-02
3.583099999999999952e+00     -5.236005439542621431e+00     5.546669397051694206e-02
3.199500000000000011e+00     -1.400146682760112338e+00     5.417329214427003131e-02
4.837299999999999933e+00     -1.880854751485489373e+01     5.951835576339942202e-02
4.485299999999999621e+00     -1.502574146930126631e+01     5.866250041402943510e-02
4.402499999999999858e+00     -1.399232240927004511e+01     5.860674782628551294e-02
1.815199999999999925e+00     1.196223756981346753e+01     4.615347275393039822e-02
1.628700000000000037e+00     1.350968283863012687e+01     4.518960956280437119e-02
5.287600000000000300e+00     -2.373598612817365705e+01     6.055097681265385334e-02
5.396600000000000286e+00     -2.497637511234954033e+01     6.081008895057694874e-02
2.361600000000000144e+00     7.022458301745804654e+00     5.116314146814832098e-02
3.815500000000000114e+00     -7.782832543277317328e+00     5.661480299743225364e-02
