# epsilon      dG      uncertainty)
3.706500000000000128e+00     -9.118087726956973782e+00     4.363786414540979375e-02
1.695400000000000018e+00     7.280661377521129296e+00     3.708512533714280329e-02
2.565199999999999925e+00     6.705554207916870624e-01     4.037178117563319790e-02
5.624699999999999811e+00     -2.678259330309884945e+01     4.862302412002905000e-02
3.467499999999999805e+00     -7.046314190460404525e+00     4.302074463413656236e-02
4.678099999999999703e+00     -1.786645146532951500e+01     4.613749543755205074e-02
1.307800000000000074e+00     1.002043657995533188e+01     3.542003000902821386e-02
4.951800000000000423e+00     -2.035499424714541661e+01     4.687559396177273796e-02
1.248199999999999976e+00     1.041445600002418281e+01     3.511905682075161517e-02
1.100899999999999990e+00     1.132765910946567800e+01     3.436765002261841367e-02
1.210299999999999931e+00     1.061757357366713350e+01     3.491656059695209813e-02
5.202099999999999724e+00     -2.276645064625258286e+01     4.747231017925179070e-02
2.183100000000000041e+00     3.706603827086228264e+00     3.902905618866827492e-02
2.298900000000000166e+00     2.801353109243736927e+00     3.945005118882435186e-02
1.887499999999999956e+00     5.903653281826752419e+00     3.787241012495884407e-02
3.393699999999999939e+00     -6.449872894973419868e+00     4.278707249384927636e-02
2.257400000000000073e+00     3.043084322010304987e+00     3.923178241274164618e-02
3.058399999999999785e+00     -3.578817306239606921e+00     4.181614652661676951e-02
2.080299999999999816e+00     4.480907893817606791e+00     3.864330132137453605e-02
1.979999999999999982e+00     5.257960621953268188e+00     3.827355850772541646e-02
3.946400000000000130e+00     -1.134820590885369285e+01     4.420606596955798523e-02
5.855999999999999872e+00     -2.890772140840230264e+01     4.927097336875654182e-02
5.716899999999999871e+00     -2.755631131224581765e+01     4.891472354212721835e-02
5.539799999999999613e+00     -2.595006889291022034e+01     4.837468922884528150e-02
3.192400000000000126e+00     -4.717155480856825456e+00     4.221396245729376606e-02
2.029199999999999893e+00     4.793086245527524270e+00     3.835356021021926742e-02
4.478399999999999714e+00     -1.610628447962114507e+01     4.559281900599924248e-02
5.564700000000000202e+00     -2.604504236859456157e+01     4.855078538886348910e-02
4.906500000000000306e+00     -2.002246278895848164e+01     4.668897322120255794e-02
3.569199999999999928e+00     -7.948191359760472530e+00     4.332059506640045105e-02
